"sit_ID";"site";"site_type";"loc_ID";"loc"
321;"California Institute of Technology";"";322;"Pasadena, CA"
322;"National Defense University";"";13;"Washington, D.C."
323;"Mount Carmel Baptist Church";"";16;"Philadelphia, PA"
324;"University of Washington";"";323;"Seattle, WA"
325;"Westin St. Francis Hotel";"";4;"San Francisco, CA"
326;"Zucotti Park";"";2;"New York City, NY"
327;"Ministerial Conference on Internet Freedom";"";64;"The Hague, Netherlands"
328;"Treehouse Hospice";"";332;"Ipswich, England"
329;"Joint Base Andrews";"";334;"Joint Base Andrews, MD"
330;"National Journal Forum";"";13;"Washington, D.C."
331;"University of Southern California";"";26;"Los Angeles, CA"
332;"Marine Corps Base Quantico";"";339;"Quantico, VA"
333;"The Newseum";"";13;"Washington, D.C."
334;"North Carolina State University";"";53;"Raleigh, NC"
335;"Brookings Institutie";"";13;"Washington, D.C."
336;"Warren Easton Charter High School";"";50;"New Orleans, LA"
337;"Constitution Center";"";16;"Philadelphia, PA"
338;"University of Missouri";"";346;"Columbia, MO"
339;"Chicago City Council";"";10;"Chicago, IL"
340;"Schomburg Center for Research in Black Cultur";"";2;"New York City, NY"
