"gat_ID";"gat";"gat_date";"gat_date_end";"loc_ID";"loc";"sit_ID";"site";"org_ID";"organizers";"org_spon_ID";"sponsors";"speeches"
218;"Southern Newspaper Publishers' Association Co";"1936-05-18";"";88;"Asheville, NC";0;"";72;"Southern Newspaper Publishers' Association";0;"";1
219;"Southern Youth Legislature";"1946-10-19";"";9;"Columbia, SC";55;"Columbia Township Auditorium";0;"";73;"Southern Negro Youth Congress";1
220;"Southern Youth Legislature";"1946-10-20";"";9;"Columbia, SC";56;"Benedict College";0;"";73;"Southern Negro Youth Congress";1
221;"Southwide Conference on Education and Race Re";"1937-08-04";"";89;"Blue Ridge, NC";0;"";0;"";0;"";1
222;"State Convention";"1955-12-01";"";55;"Jackson, MS";0;"";74;"Assocation of Citizens' Councils of Mississip";0;"";1
223;"Symposium on the Kerner Report";"1969-03-05";"";13;"Washington, D.C.";57;"Georgetown University";0;"";0;"";1
224;"Symposium on the New Negro";"1961-08-00";"";72;"Detroit, MI";0;"";0;"";75;"National Catholic Conference for Interracial ";1
225;"Tennessee Centennial Exposition";"1897-06-05";"";18;"Nashville, TN";0;"";0;"";0;"";1
226;"Testimony Before Congressional Committee";"1964-06-16";"";13;"Washington, D.C.";58;"U.S. Capitol";76;"U.S. House of Representatives";0;"";1
227;"Thanksgiving Day Celebration";"1867-11-28";"";90;"Fairfield, OH";0;"";0;"";0;"";1
228;"The Revolution Will Not Be Standardized Forum";"2012-10-09";"";10;"Chicago, IL";0;"";0;"";0;"";1
229;"Third Annual Convention of the Women's Christ";"1876-00-00";"";73;"Newark, NJ";0;"";77;"Women's Christian Temperance Union";0;"";1
230;"Third National Convention of the National Lab";"1869-08-18";"";16;"Philadelphia, PA";0;"";78;"National Labor Union";0;"";1
231;"Town hall debate on whites in the Negro Freed";"1964-06-15";"";2;"New York City, NY";0;"";0;"";79;"The Association of Artists for Freedom";1
232;"Trade Union Conference";"2001-09-11";"";1;"unknown";0;"";0;"";0;"";1
233;"U.S. Senate Hearing on Women Suffrage";"1915-12-15";"";13;"Washington, D.C.";58;"U.S. Capitol";80;"U.S. Senate";0;"";1
234;"United Nations Climate Summit";"2014-09-23";"";2;"New York City, NY";59;"United Nations Headquarters";81;"United Nations";0;"";1
235;"United Nations Conference on Environment & De";"1992-06-00";"";91;"Rio de Janeiro, Brazil";0;"";81;"United Nations";0;"";1
236;"Unveiling of the Freedmen's Memorial Monument";"1876-04-14";"";13;"Washington, D.C.";60;"Lincoln Park";0;"";0;"";1
237;"Unveiling of the Robert Gould Shaw Monument";"1897-05-31";"";28;"Boston, MA";0;"";0;"";0;"";1
238;"Veterans for Peace Convention";"2005-08-05";"";92;"Dallas, TX";0;"";0;"";0;"";1
239;"Vietnam Day Teach-In";"1965-05-21";"";93;"Berkeley, CA";61;"University of California, Berkeley";82;"University of California, Berkeley";0;"";1
240;"West India Emancipation Day Celebration";"1862-08-01";"";94;"Abington, MA";0;"";0;"";0;"";1
241;"William Procter Price";"1960-12-29";"";2;"New York City, NY";0;"";83;"Scientific Research Society of America";0;"";1
242;"Wilmington District Epworth League Convention";"0000-00-00";"";95;"Wilmington, DE";0;"";84;"Wilmingston District Epworth League";0;"";1
243;"Woman's Rights Convention";"1851-05-29";"";96;"Akron, OH";0;"";0;"";0;"";1
244;"Women's Rights Convention";"1855-10-17";"";54;"Cincinnati, OH";62;"Smith & Nixon's Hall";0;"";0;"";1
245;"Women's Rights Convention";"1866-05-00";"";2;"New York City, NY";63;"Church of the Puritans";0;"";0;"";1
246;"World Science Fiction Convention";"2012-09-02";"";10;"Chicago, IL";0;"";0;"";0;"";1
