"spe_ID";"spe_type";"spe_desc";"spe_subj";"spe_date";"per_ID";"person";"per_sec_ID";"person_sec";"loc_ID";"loc";"sit_ID";"site";"gat_ID";"gat";"org_spon_ID";"sponsor";"org_ID";"org_to";"public";"press";"radio";"tv";"video";"text";"source_list"
137;"speech";"1996 DNC Address (""It Takes a Village"""")""";"";"1996-08-27";117;"Hillary R. Clinton";0;"";10;"Chicago, IL";29;"United Center";106;"Democratic National Convention (DNC)";0;"";0;"";0;0;0;0;"";"";"http://www.americanrhetoric.com/speeches/hill"
138;"speech";"2016 Democratic National Convention Address";"";"2016-07-25";114;"Michelle Obama";0;"";16;"Philadelphia, PA";30;"Wells Fargo Center";107;"Democratic National Convention (DNC)";0;"";0;"";0;0;0;1;"https://www.youtube.com/watch?v=4ZNWYqDU948";"";"http://www.americanrhetoric.com/speeches/conv"
139;"speech";"2016 Democratic Nomination Acceptance";"";"2016-07-28";117;"Hillary R. Clinton";0;"";16;"Philadelphia, PA";30;"Wells Fargo Center";108;"Democratic National Convention (DNC)";0;"";0;"";0;0;0;1;"https://www.youtube.com/watch?v=pnXiy4D_I8g";"";"http://www.americanrhetoric.com/speeches/conv"
140;"speech";"Our Democracy and the Ballot";"Fourteenth Amendment";"1923-05-10";119;"James Wheldon Johnson";0;"";2;"New York City, NY";31;"Hotel Pennsylvania";109;"Dinner for Congressman F.H. LaGuardia";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/We_Want_"
141;"speech";"Speech discussing the fugitive Slave Bill";"";"1850-10-04";52;"Samuel Ringgold Ward";0;"";49;"Syracuse, NY";32;"City Hall";110;"Discussion on the Fugitive Slave Act";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books?id=I0a0CwAAQBA"
142;"speech";"I Won't Obey The Fugitive Slave Law";"";"1850-10-04";120;"J.W. Longuen";0;"";49;"Syracuse, NY";32;"City Hall";110;"Discussion on the Fugitive Slave Act";0;"";0;"";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
143;"lecture";"Segregation and Desegregation";"Segregation";"1953-12-08";121;"Thurgood Marshall";0;"";50;"New Orleans, LA";33;"Dillard University";111;"Edwin Rogers Embree Memorial Lectures";0;"";41;"Dillard University";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
144;"lecture";"Human Relations in World Perspective";"";"1954-04-00";122;"Ralph J. Bunche";0;"";50;"New Orleans, LA";33;"Dillard University";112;"Edwin Rogers Embree Memorial Lectures";0;"";41;"Dillard University";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
145;"speech";"Emancipation and Racial Advancement";"";"1913-05-30";123;"Ernest Lyon";0;"";51;"Brownsville, PA";0;"";113;"Fiftieth Anniversary of the Emancipation Proc";0;"";0;"";1;0;0;0;"";"";"https://books.google.com/books?id=ojIA-vJtV_s"
146;"speech";"The Case for Universal Suffrage";"Suffrage, Universal Suffrage";"1867-05-09";41;"Elizabeth Cady Stanton";0;"";2;"New York City, NY";34;"Church of Puritans";114;"First Annual Meeting of the American Equal Ri";0;"";42;"American Equal Rights Association";0;0;0;0;"";"";"https://books.google.com/books/about/Outspoke"
147;"speech";"When Woman Gets Her Rights Man Will Be Right";"Women's Rights";"1867-05-09";124;"Sojourner Truth";0;"";2;"New York City, NY";34;"Church of Puritans";114;"First Annual Meeting of the American Equal Ri";0;"";42;"American Equal Rights Association";0;0;0;0;"";"";"https://books.google.com/books/about/The_Voic"
